"","V1","V2","V3","V4","V5","V6"
"1","Hubbsina turneri","Critically Endangered",497499,"Cyprinodontiformes","Goodeidae",NA
"2","Ictalurus australis","Data Deficient",498370,"Siluriformes","Ictaluridae",NA
"3","Ictalurus mexicanus","Vulnerable",498476,"Siluriformes","Ictaluridae",NA
"4","Ambloplites cavifrons","Least Concern",498639,"Perciformes","Centrarchidae",NA
"5","Ilyodon whitei","Least Concern",498826,"Cyprinodontiformes","Goodeidae",NA
"6","Lagocephalus gloveri","Data Deficient",500780,"Tetraodontiformes","Tetraodontidae","Y"
"7","Ameca splendens","Critically Endangered",500918,"Cyprinodontiformes","Goodeidae",NA
"8","Lithognathus lithognathus","Endangered",505458,"Perciformes","Sparidae","Y"
"9","Lucania interioris","Endangered",506299,"Cyprinodontiformes","Fundulidae",NA
"10","Lutjanus cyanopterus","Vulnerable",506633,"Perciformes","Lutjanidae","Y"
"11","Megupsilon aporus","Extinct",511283,"Cyprinodontiformes","Cyprinodontidae",NA
"12","Menidia conchorum","Endangered",512306,"Atheriniformes","Atherinopsidae","Y"
"13","Neochanna burrowsius","Critically Endangered",545821,"Osmeriformes","Galaxiidae",NA
"14","Neochanna diversus","Endangered",545893,"Osmeriformes","Galaxiidae",NA
"15","Neochanna apoda","Endangered",545955,"Osmeriformes","Galaxiidae",NA
"16","Notropis aguirrepequenoi","Vulnerable",546386,"Cypriniformes","Cyprinidae",NA
"17","Notropis amecae","Extinct in the Wild",546437,"Cypriniformes","Cyprinidae",NA
"18","Notropis aulidion","Extinct",546490,"Cypriniformes","Cyprinidae",NA
"19","Notropis imeldae","Data Deficient",546543,"Cypriniformes","Cyprinidae",NA
"20","Notropis moralesi","Data Deficient",546626,"Cypriniformes","Cyprinidae",NA
"21","Notropis saladonis","Extinct",546742,"Cypriniformes","Cyprinidae",NA
"22","Ophisternon infernale","Endangered",717292,"Synbranchiformes","Synbranchidae",NA
"23","Parioglossus neocaledonicus","Data Deficient",718371,"Perciformes","Microdesmidae","Y"
"24","Diplodus cervinus","Least Concern",718871,"Perciformes","Sparidae",NA
"25","Membras martinica","Least Concern",719371,"Atheriniformes","Atherinopsidae","Y"
"26","Drombus halei","Least Concern",722000,"Perciformes","Gobiidae","Y"
"27","Sciades parkeri","Vulnerable",722547,"Siluriformes","Ariidae","Y"
"28","Microgobius tabogensis","Least Concern",723579,"Perciformes","Gobiidae","Y"
"29","Caranx sexfasciatus","Least Concern",725623,"Perciformes","Carangidae","Y"
"30","Lutjanus apodus","Least Concern",726254,"Perciformes","Lutjanidae","Y"
"31","Ambassis urotaenia","Least Concern",727429,"Perciformes","Ambassidae","Y"
"32","Menidia peninsulae","Least Concern",727668,"Atheriniformes","Atherinopsidae","Y"
"33","Strongylura marina","Least Concern",728197,"Beloniformes","Belonidae","Y"
"34","Pagrus pagrus","Least Concern",788483,"Perciformes","Sparidae","Y"
"35","Favonigobius reichei","Least Concern",816039,"Perciformes","Gobiidae","Y"
"36","Pegasus laternarius","Data Deficient",1073433,"Gasterosteiformes","Pegasidae","Y"
"37","Brachirus harmandi","Least Concern",1076798,"Pleuronectiformes","Soleidae","Y"
"38","Schizothorax griseus","Least Concern",1104938,"Cypriniformes","Cyprinidae",NA
"39","Sinibotia pulchra","Data Deficient",1105075,"Cypriniformes","Cobitidae",NA
"40","Pseudogobio guilinensis","Data Deficient",1105812,"Cypriniformes","Cyprinidae",NA
"41","Channa asiatica","Least Concern",1106176,"Perciformes","Channidae",NA
"42","Sineleotris chalmersi","Least Concern",1106881,"Perciformes","Odontobutidae","Y"
"43","Leptobotia elongata","Vulnerable",1107235,"Cypriniformes","Cobitidae",NA
"44","Luciocyprinus langsoni","Vulnerable",1107712,"Cypriniformes","Cyprinidae",NA
"45","Macropodus opercularis","Least Concern",1108134,"Perciformes","Osphronemidae",NA
"46","Cyprinus rubrofuscus","Least Concern",1108337,"Cypriniformes","Cyprinidae","Y"
"47","Nemacheilus binotatus","Data Deficient",1108548,"Cypriniformes","Nemacheilidae",NA
"48","Gobiobotia kolleri","Data Deficient",1108628,"Cypriniformes","Cyprinidae","Y"
"49","Sinibotia robusta","Data Deficient",1108886,"Cypriniformes","Cobitidae","Y"
"50","Osteochilus salsburyi","Least Concern",1108996,"Cypriniformes","Cyprinidae",NA
"51","Schistura incerta","Data Deficient",1109130,"Cypriniformes","Nemacheilidae","Y"
"52","Onychostoma ovale","Data Deficient",1109527,"Cypriniformes","Cyprinidae",NA
"53","Erromyzon sinensis","Data Deficient",1109806,"Cypriniformes","Balitoridae",NA
"54","Schistura fasciolata","Data Deficient",1110341,"Cypriniformes","Nemacheilidae","Y"
"55","Carassius auratus","Least Concern",1110472,"Cypriniformes","Cyprinidae",NA
"56","Channa maculata","Least Concern",1110977,"Perciformes","Channidae",NA
"57","Coreoperca whiteheadi","Least Concern",1111219,"Perciformes","Percichthyidae","Y"
"58","Schistura hingi","Least Concern",1111469,"Cypriniformes","Nemacheilidae",NA
"59","Luciobrama macrocephalus","Data Deficient",1111639,"Cypriniformes","Cyprinidae","Y"
"60","Oreonectes platycephalus","Data Deficient",1111876,"Cypriniformes","Nemacheilidae",NA
"61","Mylopharyngodon piceus","Data Deficient",1112111,"Cypriniformes","Cyprinidae",NA
"62","Squalidus argentatus","Data Deficient",1112586,"Cypriniformes","Cyprinidae","Y"
"63","Clarias fuscus","Least Concern",1112953,"Siluriformes","Clariidae",NA
"64","Gobiobotia meridionalis","Data Deficient",1113692,"Cypriniformes","Cyprinidae",NA
"65","Microphysogobio labeoides","Data Deficient",1113820,"Cypriniformes","Cyprinidae",NA
"66","Schizothorax lissolabiatus","Least Concern",1114081,"Cypriniformes","Cyprinidae",NA
"67","Pseudorasbora parva","Least Concern",1114203,"Cypriniformes","Cyprinidae",NA
"68","Carassius cuvieri","Endangered",1114496,"Cypriniformes","Cyprinidae",NA
"69","Chanodichthys erythropterus","Least Concern",1115090,"Cypriniformes","Cyprinidae",NA
"70","Acentrogobius viridipunctatus","Least Concern",1115227,"Perciformes","Gobiidae","Y"
"71","Carassioides acuminatus","Least Concern",1115364,"Cypriniformes","Cyprinidae",NA
"72","Misgurnus anguillicaudatus","Least Concern",1115635,"Cypriniformes","Cobitidae",NA
"73","Siniperca scherzeri","Data Deficient",1116001,"Perciformes","Percichthyidae","Y"
"74","Garra imberba","Data Deficient",1116181,"Cypriniformes","Cyprinidae",NA
"75","Eleotris oxycephala","Least Concern",1116331,"Perciformes","Eleotridae","Y"
"76","Hypophthalmichthys nobilis","Data Deficient",1116524,"Cypriniformes","Cyprinidae",NA
"77","Hemibarbus macracanthus","Data Deficient",1117341,"Cypriniformes","Cyprinidae",NA
"78","Hemibagrus guttatus","Data Deficient",1117461,"Siluriformes","Bagridae",NA
"79","Metzia formosae","Least Concern",1117603,"Cypriniformes","Cyprinidae",NA
"80","Anguilla japonica","Endangered",1117791,"Anguilliformes","Anguillidae","Y"
"81","Elopichthys bambusa","Data Deficient",1117967,"Cypriniformes","Cyprinidae",NA
"82","Procypris mera","Data Deficient",1118498,"Cypriniformes","Cyprinidae",NA
"83","Hemiculter leucisculus","Least Concern",1118671,"Cypriniformes","Cyprinidae","Y"
"84","Siniperca knerii","Data Deficient",1118910,"Perciformes","Percichthyidae","Y"
"85","Clupanodon thrissa","Least Concern",1119035,"Clupeiformes","Clupeidae","Y"
"86","Salanx chinensis","Data Deficient",1119161,"Osmeriformes","Salangidae","Y"
"87","Acrossocheilus clivosius","Data Deficient",1119363,"Cypriniformes","Cyprinidae",NA
"88","Salanx cuvieri","Data Deficient",1119526,"Osmeriformes","Salangidae","Y"
"89","Sinibotia superciliaris","Data Deficient",1120097,"Cypriniformes","Cobitidae",NA
"90","Cobitis sinensis","Least Concern",1120251,"Cypriniformes","Cobitidae",NA
"91","Liniparhomaloptera disparis","Data Deficient",1120394,"Cypriniformes","Balitoridae",NA
"92","Microphysogobio kachekensis","Least Concern",1120531,"Cypriniformes","Cyprinidae","Y"
"93","Gobiobotia longibarba","Data Deficient",1120669,"Cypriniformes","Cyprinidae",NA
"94","Coilia grayii","Least Concern",1120822,"Clupeiformes","Engraulidae","Y"
"95","Ophisternon bengalense","Least Concern",1131667,"Synbranchiformes","Synbranchidae","Y"
"96","Tenualosa ilisha","Least Concern",1132697,"Clupeiformes","Clupeidae","Y"
"97","Arius arius","Least Concern",1132980,"Siluriformes","Ariidae","Y"
"98","Acantopsis choirorhynchos","Least Concern",1133372,"Cypriniformes","Cobitidae","Y"
"99","Aplocheilus panchax","Least Concern",1134077,"Cyprinodontiformes","Aplocheilidae","Y"
"100","Nemacheilus doonensis","Data Deficient",1135802,"Cypriniformes","Nemacheilidae",NA
"101","Polynemus dubius","Least Concern",1135918,"Perciformes","Polynemidae","Y"
"102","Amblyeleotris gymnocephala","Least Concern",1136566,"Perciformes","Gobiidae","Y"
"103","Toxotes chatareus","Least Concern",1137243,"Perciformes","Toxotidae","Y"
"104","Channa orientalis","Vulnerable",1138020,"Perciformes","Channidae","Y"
"105","Exostoma berdmorei","Data Deficient",1138123,"Siluriformes","Sisoridae",NA
"106","Drombus globiceps","Least Concern",1138226,"Perciformes","Gobiidae","Y"
"107","Clarias batrachus","Least Concern",1138872,"Siluriformes","Clariidae","Y"
"108","Lates calcarifer","Least Concern",1139469,"Perciformes","Latidae","Y"
"109","Polynemus paradiseus","Least Concern",1139783,"Perciformes","Polynemidae","Y"
"110","Hemiculter elongatus","Data Deficient",1142941,"Cypriniformes","Cyprinidae",NA
"111","Placocheilus caudofasciatus","Least Concern",1143402,"Cypriniformes","Cyprinidae",NA
"112","Hainania serrata","Data Deficient",1143561,"Cypriniformes","Cyprinidae","Y"
"113","Sinibrama melrosei","Data Deficient",1143962,"Cypriniformes","Cyprinidae",NA
"114","Rasbora trilineata","Least Concern",1144318,"Cypriniformes","Cyprinidae",NA
"115","Pareuchiloglanis macrotrema","Data Deficient",1145367,"Siluriformes","Sisoridae",NA
"116","Vanmanenia tetraloba","Data Deficient",1146045,"Cypriniformes","Balitoridae",NA
"117","Spinibarbus hollandi","Data Deficient",1146167,"Cypriniformes","Cyprinidae",NA
"118","Spinibarbus denticulatus","Least Concern",1146430,"Cypriniformes","Cyprinidae",NA
"119","Gerres limbatus","Least Concern",1146648,"Perciformes","Gerreidae","Y"
"120","Toxabramis houdemeri","Least Concern",1146763,"Cypriniformes","Cyprinidae",NA
"121","Opsariichthys bidens","Least Concern",1147013,"Cypriniformes","Cyprinidae",NA
"122","Hypophthalmichthys harmandi","Data Deficient",1147381,"Cypriniformes","Cyprinidae","Y"
"123","Hemibagrus pluriradiatus","Least Concern",1147582,"Siluriformes","Bagridae",NA
"124","Cobitis squataeniatus","Data Deficient",1147904,"Cypriniformes","Cobitidae",NA
"125","Ambassis vachellii","Least Concern",1148498,"Perciformes","Ambassidae","Y"
"126","Glyptothorax honghensis","Data Deficient",1149112,"Siluriformes","Sisoridae",NA
"127","Scaphiodonichthys macracanthus","Data Deficient",1149534,"Cypriniformes","Cyprinidae",NA
"128","Hemibagrus vietnamicus","Data Deficient",1149749,"Siluriformes","Bagridae",NA
"129","Semilabeo notabilis","Data Deficient",1150009,"Cypriniformes","Cyprinidae",NA
"130","Lutjanus erythropterus","Least Concern",1150254,"Perciformes","Lutjanidae","Y"
"131","Beaufortia leveretti","Data Deficient",1150567,"Cypriniformes","Balitoridae",NA
"132","Folifer brevifilis","Data Deficient",1150908,"Cypriniformes","Cyprinidae","Y"
"133","Parazacco spilurus","Data Deficient",1151323,"Cypriniformes","Cyprinidae","Y"
"134","Barbonymus gonionotus","Least Concern",1151554,"Cypriniformes","Cyprinidae",NA
"135","Onychostoma lepturum","Data Deficient",1151749,"Cypriniformes","Cyprinidae","Y"
"136","Saurogobio immaculatus","Data Deficient",1151863,"Cypriniformes","Cyprinidae","Y"
"137","Bagarius rutilus","Data Deficient",1152025,"Siluriformes","Sisoridae",NA
"138","Pseudohemiculter hainanensis","Least Concern",1152522,"Cypriniformes","Cyprinidae",NA
"139","Sinogastromyzon rugocauda","Data Deficient",1152659,"Cypriniformes","Balitoridae",NA
"140","Pseudolaubuca sinensis","Least Concern",1152773,"Cypriniformes","Cyprinidae",NA
"141","Echidna polyzona","Least Concern",1153330,"Anguilliformes","Muraenidae","Y"
"142","Squaliobarbus curriculus","Data Deficient",1153595,"Cypriniformes","Cyprinidae",NA
"143","Spinibarbus ovalius","Data Deficient",1154211,"Cypriniformes","Cyprinidae",NA
"144","Trypauchen vagina","Least Concern",1154326,"Perciformes","Gobiidae","Y"
"145","Cranoglanis henrici","Least Concern",1154927,"Siluriformes","Cranoglanididae",NA
"146","Cynoglossus trigrammus","Least Concern",1155058,"Pleuronectiformes","Cynoglossidae","Y"
"147","Gymnothorax buroensis","Least Concern",1155316,"Anguilliformes","Muraenidae","Y"
"148","Onychostoma lini","Data Deficient",1155601,"Cypriniformes","Cyprinidae",NA
"149","Lagocephalus sceleratus","Least Concern",1155760,"Tetraodontiformes","Tetraodontidae","Y"
"150","Rasbora steineri","Least Concern",1156119,"Cypriniformes","Cyprinidae",NA
"151","Silurus asotus","Least Concern",1156283,"Siluriformes","Siluridae",NA
"152","Parapocryptes serperaster","Least Concern",1156821,"Perciformes","Gobiidae","Y"
"153","Parazacco fasciatus","Least Concern",1157204,"Cypriniformes","Cyprinidae",NA
"154","Rhodeus spinalis","Least Concern",1157470,"Cypriniformes","Cyprinidae","Y"
"155","Taenioides gracilis","Least Concern",1157622,"Perciformes","Gobiidae","Y"
"156","Sinogastromyzon tonkinensis","Data Deficient",1158018,"Cypriniformes","Balitoridae",NA
"157","Cobitis ylengensis","Data Deficient",1158239,"Cypriniformes","Cobitidae",NA
"158","Poropuntius krempfi","Data Deficient",1158452,"Cypriniformes","Cyprinidae",NA
"159","Onychostoma simum","Data Deficient",1158870,"Cypriniformes","Cyprinidae",NA
"160","Sinobdella sinensis","Least Concern",1159184,"Synbranchiformes","Mastacembelidae",NA
"161","Oryzias latipes","Least Concern",1159322,"Beloniformes","Adrianichthyidae","Y"
"162","Rhinogobius giurinus","Least Concern",1159466,"Perciformes","Gobiidae","Y"
"163","Poropuntius kontumensis","Data Deficient",1159629,"Cypriniformes","Cyprinidae",NA
"164","Periophthalmodon schlosseri","Least Concern",1159765,"Perciformes","Gobiidae","Y"
"165","Cobitis longitaeniatus","Data Deficient",1160022,"Cypriniformes","Cobitidae",NA
"166","Cobitis phongnhaensis","Data Deficient",1160219,"Cypriniformes","Cobitidae",NA
"167","Neolissochilus benasi","Data Deficient",1160346,"Cypriniformes","Cyprinidae",NA
"168","Boleophthalmus boddarti","Least Concern",1160611,"Perciformes","Gobiidae","Y"
"169","Pterocryptis cochinchinensis","Least Concern",1160780,"Siluriformes","Siluridae",NA
"170","Rasbora sumatrana","Data Deficient",1161191,"Cypriniformes","Cyprinidae",NA
"171","Tetraodon biocellatus","Least Concern",1161569,"Tetraodontiformes","Tetraodontidae",NA
"172","Balitora lancangjiangensis","Least Concern",1161723,"Cypriniformes","Balitoridae",NA
"173","Tachysurus virgatus","Data Deficient",1162085,"Siluriformes","Bagridae",NA
"174","Hemibagrus centralus","Data Deficient",1162257,"Siluriformes","Bagridae",NA
"175","Garra laichowensis","Data Deficient",1162375,"Cypriniformes","Cyprinidae",NA
"176","Abbottina binhi","Data Deficient",1162499,"Cypriniformes","Cyprinidae",NA
"177","Takifugu ocellatus","Near Threatened",1162597,"Tetraodontiformes","Tetraodontidae","Y"
"178","Scaphiodonichthys acanthopterus","Least Concern",1162738,"Cypriniformes","Cyprinidae",NA
"179","Ochetobius elongatus","Least Concern",1162900,"Cypriniformes","Cyprinidae",NA
"180","Oxyurichthys tentacularis","Data Deficient",1163029,"Perciformes","Gobiidae","Y"
"181","Sinogastromyzon chapaensis","Data Deficient",1163156,"Cypriniformes","Balitoridae",NA
"182","Squalidus atromaculatus","Least Concern",1163290,"Cypriniformes","Cyprinidae",NA
"183","Garra imberbis","Data Deficient",1185398,"Cypriniformes","Cyprinidae",NA
"184","Badis ruber","Least Concern",1185879,"Perciformes","Badidae",NA
"185","Danio margaritatus","Data Deficient",1186232,"Cypriniformes","Cyprinidae",NA
"186","Homaloptera rupicola","Least Concern",1186419,"Cypriniformes","Balitoridae",NA
"187","Chaudhuria caudata","Data Deficient",1187401,"Synbranchiformes","Chaudhuriidae",NA
"188","Neolissochilus nigrovittatus","Data Deficient",1187601,"Cypriniformes","Cyprinidae",NA
"189","Neonoemacheilus peguensis","Data Deficient",1188214,"Cypriniformes","Nemacheilidae",NA
"190","Cestraeus oxyrhyncus","Data Deficient",1274040,"Mugiliformes","Mugilidae","Y"
"191","Gambusia vittata","Least Concern",1274498,"Cyprinodontiformes","Poeciliidae",NA
"192","Allotoca diazi","Critically Endangered",1274613,"Cyprinodontiformes","Goodeidae","Y"
"193","Chirostoma arge","Data Deficient",1275247,"Atheriniformes","Atherinopsidae",NA
"194","Priapella intermedia","Least Concern",1275434,"Cyprinodontiformes","Poeciliidae",NA
"195","Sicydium multipunctatum","Least Concern",1275543,"Perciformes","Gobiidae",NA
"196","Chirostoma promelas","Endangered",1275786,"Atheriniformes","Atherinopsidae",NA
"197","Gobiosoma yucatanum","Least Concern",1275926,"Perciformes","Gobiidae","Y"
"198","Tampichthys catostomops","Near Threatened",1276043,"Cypriniformes","Cyprinidae",NA
"199","Chirostoma attenuatum","Endangered",1276157,"Atheriniformes","Atherinopsidae",NA
"200","Poeciliopsis turneri","Data Deficient",1276341,"Cyprinodontiformes","Poeciliidae",NA
"201","Zoogoneticus tequila","Endangered",1276460,"Cyprinodontiformes","Goodeidae",NA
"202","Goodea atripinnis","Least Concern",1276740,"Cyprinodontiformes","Goodeidae",NA
"203","Crossocheilus reticulatus","Least Concern",1276865,"Cypriniformes","Cyprinidae",NA
"204","Schistura pervagata","Least Concern",1277058,"Cypriniformes","Nemacheilidae",NA
"205","Amblypharyngodon chulabhornae","Least Concern",1277212,"Cypriniformes","Cyprinidae",NA
"206","Schistura personata","Near Threatened",1277557,"Cypriniformes","Nemacheilidae",NA
"207","Mastacembelus oatesii","Endangered",1277724,"Synbranchiformes","Mastacembelidae",NA
"208","Schistura dubia","Data Deficient",1278023,"Cypriniformes","Nemacheilidae",NA
"209","Schistura balteata","Data Deficient",1278334,"Cypriniformes","Nemacheilidae",NA
"210","Schistura spiesi","Vulnerable",1278462,"Cypriniformes","Nemacheilidae",NA
"211","Schistura cataracta","Least Concern",1278619,"Cypriniformes","Nemacheilidae",NA
"212","Esomus longimanus","Data Deficient",1278839,"Cypriniformes","Cyprinidae",NA
"213","Homaloptera zollingeri","Least Concern",1279033,"Cypriniformes","Balitoridae",NA
"214","Neonoemacheilus labeosus","Least Concern",1279205,"Cypriniformes","Nemacheilidae",NA
"215","Plicofollis dussumieri","Least Concern",1279491,"Siluriformes","Ariidae","Y"
"216","Archosargus rhomboidalis","Least Concern",1283528,"Perciformes","Sparidae","Y"
"217","Dentex spariformis","Least Concern",1283831,"Perciformes","Sparidae","Y"
"218","Dentex angolensis","Near Threatened",1283985,"Perciformes","Sparidae","Y"
"219","Pagrus caeruleostictus","Least Concern",1284207,"Perciformes","Sparidae","Y"
"220","Lithognathus mormyrus","Least Concern",1284573,"Perciformes","Sparidae","Y"
"221","Cheimerius matsubarai","Vulnerable",1285017,"Perciformes","Sparidae","Y"
"222","Pagellus bellottii","Least Concern",1285147,"Perciformes","Sparidae","Y"
"223","Rhabdosargus thorpei","Least Concern",1285475,"Perciformes","Sparidae","Y"
"224","Rhabdosargus haffara","Least Concern",1285626,"Perciformes","Sparidae","Y"
"225","Dentex maroccanus","Least Concern",1285837,"Perciformes","Sparidae","Y"
"226","Pagrus major","Least Concern",1286175,"Perciformes","Sparidae",NA
"227","Stenotomus chrysops","Near Threatened",1286359,"Perciformes","Sparidae","Y"
"228","Sarpa salpa","Least Concern",1286510,"Perciformes","Sparidae","Y"
"229","Chrysoblephus laticeps","Near Threatened",1286872,"Perciformes","Sparidae","Y"
"230","Boops lineatus","Data Deficient",1287031,"Perciformes","Sparidae","Y"
"231","Spondyliosoma emarginatum","Least Concern",1287155,"Perciformes","Sparidae","Y"
"232","Acanthopagrus vagus","Vulnerable",1287308,"Perciformes","Sparidae","Y"
"233","Sparidentex hasta","Least Concern",1287447,"Perciformes","Sparidae","Y"
"234","Diplodus capensis","Least Concern",1287615,"Perciformes","Sparidae","Y"
"235","Dentex abei","Least Concern",1287803,"Perciformes","Sparidae","Y"
"236","Calamus mu","Least Concern",1287932,"Perciformes","Sparidae","Y"
"237","Calamus nodosus","Least Concern",1288028,"Perciformes","Sparidae","Y"
"238","Acanthopagrus chinshira","Near Threatened",1288183,"Perciformes","Sparidae","Y"
"239","Stenotomus caprinus","Least Concern",1288332,"Perciformes","Sparidae","Y"
"240","Acanthopagrus palmaris","Least Concern",1288460,"Perciformes","Sparidae","Y"
"241","Calamus proridens","Least Concern",1288591,"Perciformes","Sparidae","Y"
"242","Chrysoblephus cristiceps","Critically Endangered",1288745,"Perciformes","Sparidae","Y"
"243","Polysteganus praeorbitalis","Vulnerable",1288897,"Perciformes","Sparidae","Y"
"244","Porcostoma dentata","Least Concern",1289061,"Perciformes","Sparidae","Y"
"245","Dentex gibbosus","Least Concern",1289197,"Perciformes","Sparidae","Y"
"246","Calamus campechanus","Data Deficient",1289518,"Perciformes","Sparidae","Y"
"247","Acanthopagrus butcheri","Least Concern",1289744,"Perciformes","Sparidae","Y"
"248","Calamus bajonado","Least Concern",1289896,"Perciformes","Sparidae","Y"
"249","Argyrops bleekeri","Least Concern",1290230,"Perciformes","Sparidae","Y"
"250","Dentex canariensis","Least Concern",1290385,"Perciformes","Sparidae","Y"
"251","Gymnocrotaphus curvidens","Least Concern",1290621,"Perciformes","Sparidae","Y"
"252","Chrysoblephus anglicus","Near Threatened",1290755,"Perciformes","Sparidae","Y"
"253","Chrysoblephus lophus","Least Concern",1290919,"Perciformes","Sparidae","Y"
"254","Polyamblyodon gibbosum","Least Concern",1291075,"Perciformes","Sparidae","Y"
"255","Oblada melanura","Least Concern",1291218,"Perciformes","Sparidae","Y"
"256","Rhabdosargus sarba","Least Concern",1291605,"Perciformes","Sparidae","Y"
"257","Acanthopagrus sivicolus","Vulnerable",1292034,"Perciformes","Sparidae","Y"
"258","Lithognathus aureti","Near Threatened",1292193,"Perciformes","Sparidae","Y"
"259","Pachymetopon aeneum","Least Concern",1292355,"Perciformes","Sparidae","Y"
"260","Rhabdosargus holubi","Least Concern",1292594,"Perciformes","Sparidae","Y"
"261","Cymatoceps nasutus","Vulnerable",1292756,"Perciformes","Sparidae","Y"
"262","Calamus pennatula","Least Concern",1292909,"Perciformes","Sparidae","Y"
"263","Polysteganus undulosus","Critically Endangered",1293194,"Perciformes","Sparidae","Y"
"264","Calamus penna","Least Concern",1293357,"Perciformes","Sparidae","Y"
"265","Pachymetopon grande","Near Threatened",1293651,"Perciformes","Sparidae","Y"
"266","Diplodus fasciatus","Least Concern",1293809,"Perciformes","Sparidae","Y"
"267","Pachymetopon blochii","Least Concern",1293923,"Perciformes","Sparidae","Y"
"268","Diplodus prayensis","Least Concern",1294089,"Perciformes","Sparidae","Y"
"269","Pterogymnus laniarius","Least Concern",1294378,"Perciformes","Sparidae","Y"
"270","Diplodus noct","Least Concern",1294540,"Perciformes","Sparidae","Y"
"271","Polysteganus coeruleopunctatus","Data Deficient",1294713,"Perciformes","Sparidae","Y"
"272","Crenidens crenidens","Least Concern",1294924,"Perciformes","Sparidae","Y"
"273","Acanthopagrus longispinnis","Data Deficient",1295177,"Perciformes","Sparidae",NA
"274","Boopsoidea inornata","Least Concern",1295250,"Perciformes","Sparidae","Y"
"275","Argyrops megalommatus","Data Deficient",1295401,"Perciformes","Sparidae","Y"
"276","Pagrus auriga","Least Concern",1295501,"Perciformes","Sparidae","Y"
"277","Cheimerius nufar","Data Deficient",1295833,"Perciformes","Sparidae","Y"
"278","Diplodus bellottii","Least Concern",1296127,"Perciformes","Sparidae","Y"
"279","Archosargus probatocephalus","Least Concern",1296293,"Perciformes","Sparidae","Y"
"280","Pagellus erythrinus","Least Concern",1296530,"Perciformes","Sparidae","Y"
"281","Rhabdosargus globiceps","Vulnerable",1296869,"Perciformes","Sparidae","Y"
"282","Sparodon durbanensis","Near Threatened",1297047,"Perciformes","Sparidae","Y"
"283","Dentex fourmanoiri","Data Deficient",1297217,"Perciformes","Sparidae","Y"
"284","Acanthopagrus omanensis","Data Deficient",1297329,"Perciformes","Sparidae","Y"
"285","Pagellus acarne","Least Concern",1297432,"Perciformes","Sparidae","Y"
"286","Acanthopagrus akazakii","Data Deficient",1297752,"Perciformes","Sparidae","Y"
"287","Argyrozona argyrozona","Near Threatened",1297891,"Perciformes","Sparidae","Y"
"288","Dentex macrophthalmus","Least Concern",1298055,"Perciformes","Sparidae","Y"
"289","Calamus leucosteus","Least Concern",1298374,"Perciformes","Sparidae","Y"
"290","Pagellus affinis","Least Concern",1298535,"Perciformes","Sparidae","Y"
"291","Acanthopagrus taiwanensis","Data Deficient",1298671,"Perciformes","Sparidae","Y"
"292","Argyrops spinifer","Least Concern",1299019,"Perciformes","Sparidae","Y"
"293","Acanthopagrus bifasciatus","Least Concern",1299349,"Perciformes","Sparidae","Y"
"294","Dentex hypselosomus","Least Concern",1299632,"Perciformes","Sparidae",NA
"295","Pagrus africanus","Least Concern",1299733,"Perciformes","Sparidae","Y"
"296","Pagellus natalensis","Least Concern",1299928,"Perciformes","Sparidae","Y"
"297","Calamus arctifrons","Least Concern",1300078,"Perciformes","Sparidae","Y"
"298","Pagellus bogaraveo","Near Threatened",1300216,"Perciformes","Sparidae","Y"
"299","Dentex dentex","Vulnerable",1300534,"Perciformes","Sparidae","Y"
"300","Virididentex acromegalus","Least Concern",1300886,"Perciformes","Sparidae","Y"
"301","Petrus rupestris","Endangered",1300995,"Perciformes","Sparidae","Y"
"302","Polyamblyodon germanum","Least Concern",1301161,"Perciformes","Sparidae","Y"
"303","Calamus calamus","Least Concern",1301306,"Perciformes","Sparidae","Y"
"304","Lagodon rhomboides","Least Concern",1301642,"Perciformes","Sparidae","Y"
"305","Boops boops","Least Concern",1301787,"Perciformes","Sparidae","Y"
"306","Argyrops filamentosus","Least Concern",1302250,"Perciformes","Sparidae","Y"
"307","Sparus aurata","Least Concern",1302459,"Perciformes","Sparidae","Y"
"308","Diplodus bermudensis","Least Concern",1302776,"Perciformes","Sparidae","Y"
"309","Lithognathus olivieri","Data Deficient",1302872,"Perciformes","Sparidae","Y"
"310","Chrysoblephus gibbiceps","Endangered",1302981,"Perciformes","Sparidae","Y"
"311","Acanthopagrus australis","Least Concern",1303135,"Perciformes","Sparidae","Y"
"312","Spondyliosoma cantharus","Least Concern",1303321,"Perciformes","Sparidae","Y"
"313","Chrysoblephus puniceus","Least Concern",1303743,"Perciformes","Sparidae","Y"
"314","Diplodus annularis","Least Concern",1303905,"Perciformes","Sparidae","Y"
"315","Diplodus vulgaris","Least Concern",1304171,"Perciformes","Sparidae","Y"
"316","Diplodus puntazzo","Least Concern",1304486,"Perciformes","Sparidae","Y"
"317","Acanthopagrus latus","Data Deficient",1304848,"Perciformes","Sparidae","Y"
"318","Diplodus holbrookii","Least Concern",1305162,"Perciformes","Sparidae","Y"
"319","Polysteganus baissaci","Least Concern",1305271,"Perciformes","Sparidae","Y"
"320","Diplodus hottentotus","Least Concern",1306648,"Perciformes","Sparidae",NA
"321","Diplodus omanensis","Least Concern",1306794,"Perciformes","Sparidae",NA
"322","Spicara maena","Least Concern",1307759,"Perciformes","Sparidae","Y"
"323","Spicara nigricauda","Least Concern",1308023,"Perciformes","Sparidae","Y"
"324","Spicara australis","Least Concern",1308146,"Perciformes","Sparidae","Y"
